subject_id,subject_language,survey_time,comments,experiment_topic
X_PAUOGDRHWC,English,0:19.8,worked fine no feedback,how people hear sounds
X_WBDYKIXFME,English,1:20.1,None Thank You.,When the sounds are very dissimilar a person tends to side with the gender match first.
X_VHNXKCTPGY,English,1:24.8,No technical issues. I accidently typed 'F' when I meant 'J' (and vice versa) on a few occasions. ,Ability to discern similar sounds when spoken by different speakers???
X_CSKAOILVZG,English,0:33.9,EVERYTHING WENT SMOOTH.,MORAL ETHICS ISSUES IN FOREIGN LANGUAGES.
X_LIWTCPQRJF,English,1:30.6,I got an attention check immediate after the break 2/3 of the way through which seemed odd. It was very fast loading except for the last 2 or 3 ones. ,No idea. I swear some of them were three different sounds and I just picked one. Also a few times I clicked too fast and know I picked the wrong one. 
X_WHUJSAETKQ,English,0:8.2,None,Not sure
X_WJXGTNHBDP,English,1:17.7,I thought the test was interesting and fun. i didn't encounter any technical issues with the website. Overall I thought this was a fun little experiment.,If I had to guess whether or not people can tell the difference between two words that sound slightly different?
X_NZLPFAHTKB,English,1:44.0,It was a very repetitive experiment but it worked just fine. Easy and to the point.,If I could distinguish closely related sounds in a second language. 
X_NGJUQAXFZV,English,0:31.1,It has been a little long but everything ran smoothly,Perception of sounds?
X_DYNUSICAFL,English,0:2.8,,
X_GWZSFPCMOA,English,1:10.8,I thought this test was kind of fun. I had no tech issues. no feedback at this time. No complaints.,Pronounciation for a translator app or something if I had to guess.
X_MRIPLFQBAU,French,1:31.3,"J'ai d'abord essayé d'y accéder avec opéra mais un message d'erreur s'est affiché. En voici la capture d'écran : https://i.imgur.com/5M32Szk.png - Il aurait pu être préférable de rendre possible un retour à la ""question"" précédente simplement en cas de touche pressé par accident.",Aucune idée.
X_BDZRXEFNCM,French,0:33.3,Aucun problème avec le site,La perception des sons en fonction de nptre langue maternelle ?
X_POABQMZXWN,French,0:39.7,Rien à signaler,la perception des sons 
X_XQCTPWHSUK,French,1:35.6,Aucun pb technique au niveau du navigateur.,peut-être la phonetique.
X_LNFKZEOCWI,French,1:57.1,Rien à signaler. ,Perception/classification de phonèmes absents du Français par un locuteur francophone (ada vs. hada) ???
X_BPRVUJKCQT,French,2:57.8,Aucun problème rencontré tout s'est déroulé parfaitement.,Peut-être une étude sur la perception de syllabes étrangères à la langue française / anglaise ou encore la mise au point d'un assistant vocal les extraits audio étant des syllabes testées afin de mesurer leur perception et/ou compréhension
X_TYNJQUOPSK,French,3:29.9,Ca serait bien de pouvoir réécouter au moins une fois dans  cas où il y a un bruit fort autour qui est survenu au même moment. - Ca serait aussi bien de pouvoir se corriger quand on sait qu'on a fait une erreur... Par exemple le dernier ici je sais très bien que j'ai appuyé sur le mauvais bouton alors que je savais la réponse... J'imagine que c'est la fatigue... ça m'est arrivé alors.. Peut-être que ça rendrait le tout plus précis.  Plus de sons aussi ça serait super cool! ,
X_XWITCBSHQM,French,2:28.9,IL EST BIEN ... Non je n'ai rencontré aucun problème ,non 
X_OBUGMDWEJR,French,2:32.5,Très intéressant fonctionnait parfaitement.  - Il y a deux ou trois paires pour lesquelles j'aurais aimé pouvoir corriger ma réponse ; mais c'est peut-être justement la réponse spontanée qui vous intéresse. ,Vous avez testé des paires minimales de voyelles et de consonnes peut-être pour évaluer la capacité des francophones à distinguer certains sons plus facilement que d'autres (je sais que certains sons ont été difficiles à différencier pour moi par exemple). 
X_BNIGQTFEXV,French,0:47.1,C'est bizarre de mettre le son à évaluer en dernier... ça m'a mené plusieurs fois à confusion...,La prononciation des langues étrangères?
X_GWMVXJRQTZ,French,0:22.8,aucune idée,aucune idée
X_YTLUQDJFPN,French,1:12.3,à priori aucuns problèmes techniques - beaucoup de répétitions dans les sons qui nous font vite perdre le fil si nous ne sommes pas assez concentrés,
X_EQALWBIHKC,French,0:12.9,,
X_EZLPMDFCRW,French,0:15.2,Le test s'est bien passé,Non
X_CLBQXPARZD,French,2:13.0,Pas de problème pas d'indication sur les critères à privilégier mais c'est probablement le but.,L'importance de l'intonation priorité des consonnes ou des voyelles dans la compréhension.
X_JYDIRUCSPN,French,1:29.5,Ne matchait pas sur firefox,detections des sons genre différents (ou plutot vois différente) 
X_KFTBCDLMPO,French,0:14.5,,
